key,year,nwords
A05232,1473,220842
A18343,1474,48167
A18231,1476,11877
A06567,1476,1148
A16385,1477,4301
A18230,1477,10103
A18294,1477,58
A18548,1477,183217
A18557,1477,3215
A18559,1477,8299
A69207,1477,49158
A68341,1477,92973
A06543,1477,516
A06553,1477,4793
A06569,1477,10926
A16284,1478,58581
A20898,1478,1027
A06554,1478,1899
A19333,1479,46247
A20416,1480,49957
A23587,1480,172139
A68181,1480,25634
A06550,1480,18382
A14548,1480,16367
A16214,1481,266296
A69111,1481,71250
A03047,1481,128802
A10638,1481,53600
A68843,1481,58587
A17935,1482,13352
A23588,1482,173242
A03319,1482,403843
A05603,1482,95099
A12869,1482,1128
A15971,1483,23033
A18232,1483,11625
A18344,1483,41894
A18507,1483,5395
A18553,1483,12552
A18561,1483,67259
A22659,1483,2686
A01997,1483,238977
A10637,1483,36587
A14559,1483,694247
A07095,1484,75048
A18233,1484,56601
A04428,1484,514
A05159,1484,84525
A06558,1484,44810
A06559,1484,438
A21703,1485,381477
A17929,1485,3570
A18452,1485,86770
A23591,1485,232623
A08927,1485,33839
A11157,1485,116456
A15588,1485,11768
A07572,1486,94844
A04005,1487,11
A05251,1487,45791
A20894,1489,98410
A03990,1489,714
A11161,1489,71895
A01993,1490,7126
A14444,1490,56240
A14476,1490,55219
A21551,1491,3558
A16386,1492,226
A22826,1492,1983
A05241,1492,92825
A08928,1492,33044
A12588,1492,9013
A18525,1493,45461
A23590,1493,174216
A06544,1493,2973
A07575,1493,120121
A08936,1493,223872
A11029,1493,865
A13930,1493,46348
A16251,1494,205453
A16347,1494,111249
A03935,1494,105872
A04041,1494,2672
A00918,1495,21487
A04386,1495,404040
A06556,1495,4052
A68428,1495,11055
A12856,1495,7391
A16392,1496,54974
A19162,1496,23044
A19336,1496,46644
A01476,1496,68638
A04363,1496,2929
A06811,1496,44671
A07135,1496,14805
A08937,1496,222200
A16033,1497,15760
A16039,1497,3923
A16041,1497,3915
A21562,1497,3432
A03489,1497,11208
A05861,1497,55706
A06545,1497,2839
A06568,1497,33284
A12872,1497,2491
A16026,1498,5370
A69000,1498,1834
A21717,1498,2450
A20520,1498,8316
A68182,1498,26139
A68426,1498,17226
A08889,1499,16181
A04387,1499,16648
A06812,1499,42901
A10153,1499,12539
A11066,1499,35839
A12281,1499,4640
A09497,1500,8750
A09588,1500,155
A09589,1500,881
A18179,1500,2794
A18555,1500,5237
A22857,1500,26840
A72367,1500,186
A06539,1500,17064
A06541,1500,16949
A06574,1500,307
A10608,1500,2239
A14448,1500,116324
A04792,1501,2048
A18687,1502,161397
A23592,1502,226250
A21509,1503,126756
A06814,1503,15858
A21456,1504,1042
A21457,1504,930
A02813,1504,15251
A12857,1504,1179
A68008,1505,871
A18176,1505,1655
A19314,1505,460
B00205,1505,2375
A12859,1505,1426
A68825,1505,1623
A73774,1506,3422
A20481,1506,30755
A01994,1506,7080
A06570,1506,10899
A10990,1506,22312
A11030,1506,42897
A16635,1507,3030
A20974,1507,6313
A72366,1507,15364
A03936,1507,107677
A72515,1507,885
A11159,1507,121004
A20968,1508,746
A20969,1508,2624
A20971,1508,2087
A03484,1508,22311
A68427,1508,5540
A07584,1508,145719
A10602,1508,14232
A14705,1508,8079
A16638,1509,93445
A17932,1509,3854
A21460,1509,652
A00766,1509,6916
A00779,1509,7272
A02811,1509,2705
A72255,1509,659
A02820,1509,1706
A02934,1509,310
A03566,1509,819
A68262,1509,4862
A05124,1509,34455
A09015,1509,3580
A12878,1509,5322
B07168,1510,26291
A01945,1510,16365
A03995,1510,334
A04522,1510,1881
A05208,1510,4071
A06546,1510,2850
A06551,1510,18867
A06561,1510,5273
A06813,1510,16977
A07133,1510,3720
A09842,1510,934
A13936,1510,1900
A14256,1510,2450
A68574,1511,22668
A17931,1511,3847
A20138,1511,1781
A03486,1511,23542
A03976,1511,1196
B07777,1511,298
A04678,1511,2412
A09844,1511,58940
A07394,1512,901
A19168,1513,668
A21461,1513,1576
A22827,1513,1658
A72071,1513,973
A04403,1513,2923
A12275,1513,557
A21463,1514,1788
A12248,1514,13575
A21464,1515,1720
A22881,1515,6306
A00005,1515,224845
A03988,1515,1167
A03999,1515,454
A73066,1515,2173
A17943,1516,104566
A20508,1516,6634
A07705,1516,1926
A08254,1517,31572
A21465,1517,940
A01245,1517,1152
A03975,1517,669
A03992,1517,143
A04000,1517,1970
A13670,1517,73060
A03728,1518,9472
A18988,1518,1384
B07531,1518,2861
A23576,1518,2479
A03972,1518,1306
